",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"OTU4001,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4002,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Oscillospira"",NA"
"OTU4003,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4004,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Pygmaiobacter"",NA"
"OTU4005,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",NA,NA,NA,NA"
"OTU4006,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Intestinimonas"",NA"
"OTU4007,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4008,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4009,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Atopobiaceae"",""Atopobium"",NA"
"OTU4010,""Bacteria"",""Firmicutes"",""Negativicutes"",""Selenomonadales"",""Acidaminococcaceae"",""Succiniclasticum"",NA"
"OTU4011,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU4012,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU4013,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4014,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Enterococcaceae"",""Melissococcus"",NA"
"OTU4015,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Hungatella"",NA"
"OTU4016,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",NA"
"OTU4017,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU4018,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4019,""Bacteria"",""Firmicutes"",NA,NA,NA,NA,NA"
"OTU4020,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4021,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4022,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4023,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-002"",NA"
"OTU4024,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU4025,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",NA"
"OTU4026,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Moryella"",NA"
"OTU4027,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",""Bifidobacterium"",NA"
"OTU4028,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",NA"
"OTU4029,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4030,""Bacteria"",""Verrucomicrobia"",""Verrucomicrobiae"",""Verrucomicrobiales"",""Akkermansiaceae"",""Akkermansia"",NA"
"OTU4031,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4032,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4033,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU4034,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""W5053"",NA"
"OTU4035,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",NA,NA"
"OTU4036,""Bacteria"",""Proteobacteria"",""Deltaproteobacteria"",""Desulfovibrionales"",""Desulfovibrionaceae"",""Bilophila"",NA"
"OTU4037,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU4038,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU4039,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU4040,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""GCA-900066225"",NA"
"OTU4041,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4042,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4043,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Peptoniphilus"",NA"
"OTU4044,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Eggerthellaceae"",""Slackia"",NA"
"OTU4045,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4046,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4047,""Bacteria"",""Verrucomicrobia"",""Verrucomicrobiae"",""Verrucomicrobiales"",""Akkermansiaceae"",""Akkermansia"",NA"
"OTU4048,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU4049,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Eubacteriaceae"",""Eubacterium"",NA"
"OTU4050,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""W5053"",NA"
"OTU4051,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Fournierella"",NA"
"OTU4052,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Eubacteriaceae"",""Eubacterium"",NA"
"OTU4053,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU4054,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU4055,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4056,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Peptoniphilus"",NA"
"OTU4057,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Caproiciproducens"",NA"
"OTU4058,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU4059,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Jonquetella"",NA"
"OTU4060,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4061,""Bacteria"",""Firmicutes"",""Negativicutes"",""Selenomonadales"",""Acidaminococcaceae"",""Succiniclasticum"",NA"
"OTU4062,""Bacteria"",""Firmicutes"",""Negativicutes"",""Selenomonadales"",""Veillonellaceae"",""Allisonella"",NA"
"OTU4063,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Anaerosphaera"",NA"
"OTU4064,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Anaerostipes"",NA"
"OTU4065,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Pyramidobacter"",NA"
"OTU4066,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4067,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4068,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Pyramidobacter"",NA"
"OTU4069,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU4070,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-002"",NA"
"OTU4071,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU4072,""Bacteria"",""Firmicutes"",""Negativicutes"",""Selenomonadales"",""Veillonellaceae"",""Dialister"",NA"
"OTU4073,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",NA,NA"
"OTU4074,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminiclostridium_5"",NA"
"OTU4075,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU4076,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Pyramidobacter"",NA"
"OTU4077,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",NA,NA"
"OTU4078,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4079,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Enterococcaceae"",""Melissococcus"",NA"
"OTU4080,""Bacteria"",""Proteobacteria"",""Deltaproteobacteria"",""Desulfovibrionales"",""Desulfovibrionaceae"",""Desulfovibrio"",NA"
"OTU4081,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",NA,NA"
"OTU4082,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU4083,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Hungatella"",NA"
"OTU4084,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XIII"",""Family_XIII_UCG-001"",NA"
"OTU4085,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU4086,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lactonifactor"",NA"
"OTU4087,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4088,""Bacteria"",""Firmicutes"",""Erysipelotrichia"",""Erysipelotrichales"",""Erysipelotrichaceae"",""Holdemania"",NA"
"OTU4089,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU4090,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Peptoniphilus"",NA"
"OTU4091,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU4092,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4093,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Murdochiella"",NA"
"OTU4094,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",NA,NA,NA,NA"
"OTU4095,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4096,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4097,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",NA,NA"
"OTU4098,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4099,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",NA,NA"
"OTU4100,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""GCA-900066225"",NA"
"OTU4101,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",NA"
"OTU4102,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4103,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Muribaculaceae"",""CAG-873"",NA"
"OTU4104,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",NA,NA"
"OTU4105,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4106,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU4107,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-013"",NA"
"OTU4108,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4109,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4110,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Enterococcaceae"",""Melissococcus"",NA"
"OTU4111,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU4112,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4113,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU4114,""Bacteria"",""Firmicutes"",NA,NA,NA,NA,NA"
"OTU4115,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4116,""Bacteria"",""Epsilonbacteraeota"",""Campylobacteria"",""Campylobacterales"",""Campylobacteraceae"",""Campylobacter"",NA"
"OTU4117,""Bacteria"",""Fusobacteria"",""Fusobacteriia"",""Fusobacteriales"",""Fusobacteriaceae"",""Fusobacterium"",NA"
"OTU4118,""Bacteria"",""Fusobacteria"",""Fusobacteriia"",""Fusobacteriales"",""Fusobacteriaceae"",""Fusobacterium"",NA"
"OTU4119,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4120,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4121,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU4122,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4123,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-010"",NA"
"OTU4124,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4125,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",NA,NA"
"OTU4126,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4127,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiales_vadinBB60_group"",NA,NA"
"OTU4128,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4129,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU4130,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4131,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Peptococcaceae"",NA,NA"
"OTU4132,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-008"",NA"
"OTU4133,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4134,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",NA"
"OTU4135,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4136,""Bacteria"",""Cyanobacteria"",""Melainabacteria"",""Gastranaerophilales"",NA,NA,NA"
"OTU4137,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4138,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Cellulosibacter"",NA"
"OTU4139,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4140,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Angelakisella"",NA"
"OTU4141,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Coprococcus_1"",NA"
"OTU4142,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4143,""Bacteria"",""Tenericutes"",""Mollicutes"",""Mollicutes_RF39"",NA,NA,NA"
"OTU4144,""Bacteria"",""Firmicutes"",NA,NA,NA,NA,NA"
"OTU4145,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU4146,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4147,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Faecalibacterium"",NA"
"OTU4148,""Eukaryota"",NA,NA,NA,NA,NA,NA"
"OTU4149,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Peptococcaceae"",""Peptococcus"",NA"
"OTU4150,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XIII"",""Family_XIII_UCG-001"",NA"
"OTU4151,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminiclostridium_5"",NA"
"OTU4152,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Peptoniphilus"",NA"
"OTU4153,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4154,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4155,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-002"",NA"
"OTU4156,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4157,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4158,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""GCA-900066225"",NA"
"OTU4159,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-009"",NA"
"OTU4160,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiaceae_1"",NA,NA"
"OTU4161,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU4162,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Limnohabitans"",NA"
"OTU4163,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Moryella"",NA"
"OTU4164,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",""Prevotellaceae_NK3B31_group"",NA"
"OTU4165,""Bacteria"",""Verrucomicrobia"",""Verrucomicrobiae"",""Verrucomicrobiales"",""Akkermansiaceae"",""Akkermansia"",NA"
"OTU4166,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-004"",NA"
"OTU4167,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4168,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU4169,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU4170,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4171,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Peptococcaceae"",""Peptococcus"",NA"
"OTU4172,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Rikenellaceae"",""Alistipes"",NA"
"OTU4173,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-014"",NA"
"OTU4174,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4175,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",NA,NA,NA"
"OTU4176,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Peptostreptococcaceae"",NA,NA"
"OTU4177,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4178,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Anaerostipes"",NA"
"OTU4179,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4180,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4181,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcus_1"",NA"
"OTU4182,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU4183,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Eggerthellaceae"",NA,NA"
"OTU4184,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4185,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiaceae_2"",""Anaerovirgula"",NA"
"OTU4186,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Coriobacteriaceae"",""Collinsella"",NA"
"OTU4187,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Eggerthellaceae"",""Slackia"",NA"
"OTU4188,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4189,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU4190,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",NA,NA,NA"
"OTU4191,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",""Prevotellaceae_NK3B31_group"",NA"
"OTU4192,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4193,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4194,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Barnesiellaceae"",""Barnesiella"",NA"
"OTU4195,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4196,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Eggerthellaceae"",NA,NA"
"OTU4197,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-010"",NA"
"OTU4198,""Bacteria"",""Tenericutes"",""Mollicutes"",""Mollicutes_RF39"",NA,NA,NA"
"OTU4199,""Bacteria"",""Firmicutes"",""Erysipelotrichia"",""Erysipelotrichales"",""Erysipelotrichaceae"",""Turicibacter"",NA"
"OTU4200,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4201,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4202,""Bacteria"",""Tenericutes"",""Mollicutes"",NA,NA,NA,NA"
"OTU4203,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU4204,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Rikenellaceae"",""Alistipes"",NA"
"OTU4205,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcus_2"",NA"
"OTU4206,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU4207,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",""Prevotellaceae_NK3B31_group"",NA"
"OTU4208,""Bacteria"",""Firmicutes"",""Erysipelotrichia"",""Erysipelotrichales"",""Erysipelotrichaceae"",""Turicibacter"",NA"
"OTU4209,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4210,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4211,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4212,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",""Prevotellaceae_NK3B31_group"",NA"
"OTU4213,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU4214,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4215,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Barnesiellaceae"",NA,NA"
"OTU4216,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU4217,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lactonifactor"",NA"
"OTU4218,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_NK4A214_group"",NA"
"OTU4219,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Barnesiellaceae"",""Barnesiella"",NA"
"OTU4220,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU4221,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Christensenellaceae"",""Christensenellaceae_R-7_group"",NA"
