",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"OTU91,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiaceae_1"",""Clostridium_sensu_stricto_1"",""tertium"""
"OTU92,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-002"",NA"
"OTU93,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Peptoniphilus"",""lacrimalis"""
"OTU94,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",""vulgatus"""
"OTU95,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-013"",NA"
"OTU96,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Coprococcus_3"",""comes"""
"OTU97,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",""merdae"""
"OTU98,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Faecalibacterium"",""prausnitzii"""
"OTU99,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU100,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Faecalibacterium"",""prausnitzii"""
"OTU101,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Muribaculaceae"",NA,NA"
"OTU102,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",""Salmonella"",NA"
"OTU103,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",""distasonis"""
"OTU104,""Bacteria"",""Firmicutes"",""Negativicutes"",""Selenomonadales"",""Veillonellaceae"",""Negativicoccus"",NA"
"OTU105,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lachnospiraceae_NK4A136_group"",NA"
"OTU106,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",""Escherichia/Shigella"",NA"
"OTU107,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
